combo_id,item_id,year,builds,cat_id
2251061,10004,2016,Accompanying Item,10
70153701,100052,2016,Main Item,0
70343641,100054,2016,Main Item,5
70183731,100057,2016,Main Item,9
70373661,100060,2016,Main Item,9
70343641,100062,2016,Accompanying Item,11
70343671,100062,2016,Accompanying Item,11
70353681,100062,2016,Accompanying Item,11
70373661,100062,2016,Accompanying Item,11
70373761,100062,2016,Accompanying Item,11
70383651,100062,2016,Accompanying Item,11
70383771,100062,2016,Accompanying Item,11
70373661,100073,2016,Accompanying Item,11
70373761,100073,2016,Accompanying Item,11
70383651,100073,2016,Accompanying Item,11
71443841,100078,2016,Main Item,5
2251061,10012,2016,Accompanying Item,10
71123821,100155,2016,Accompanying Item,11
71123822,100155,2016,Accompanying Item,11
71123823,100155,2016,Accompanying Item,11
71123824,100155,2016,Accompanying Item,11
71123825,100155,2016,Accompanying Item,11
71123826,100155,2016,Accompanying Item,11
7273891,100175,2016,Accompanying Item,5
2251061,10018,2016,Accompanying Item,10
2251061,10019,2016,Accompanying Item,10
2141011,10020,2016,Accompanying Item,8
2141091,10020,2016,Main Item,8
72133881,100209,2016,Main Item,5
7273891,100210,2016,Main Item,5
72113941,100211,2016,Main Item,5
7273981,100212,2016,Main Item,5
72223971,100213,2016,Main Item,5
2251061,10022,2016,Accompanying Item,8
2251061,10023,2016,Accompanying Item,8
73523801,100231,2016,Accompanying Item,0
735238010,100231,2016,Accompanying Item,0
735238011,100231,2016,Accompanying Item,0
735238012,100231,2016,Accompanying Item,0
735238013,100231,2016,Accompanying Item,0
735238014,100231,2016,Accompanying Item,0
735238015,100231,2016,Accompanying Item,0
735238016,100231,2016,Accompanying Item,0
735238017,100231,2016,Accompanying Item,0
735238018,100231,2016,Accompanying Item,0
735238019,100231,2016,Accompanying Item,0
73523802,100231,2016,Accompanying Item,0
735238020,100231,2016,Accompanying Item,0
735238021,100231,2016,Accompanying Item,0
735238022,100231,2016,Accompanying Item,0
735238023,100231,2016,Accompanying Item,0
735238024,100231,2016,Accompanying Item,0
735238025,100231,2016,Accompanying Item,0
735238026,100231,2016,Accompanying Item,0
735238027,100231,2016,Accompanying Item,0
735238028,100231,2016,Accompanying Item,0
735238029,100231,2016,Accompanying Item,0
73523803,100231,2016,Accompanying Item,0
735238030,100231,2016,Accompanying Item,0
735238031,100231,2016,Accompanying Item,0
735238032,100231,2016,Accompanying Item,0
735238033,100231,2016,Accompanying Item,0
735238034,100231,2016,Accompanying Item,0
735238035,100231,2016,Accompanying Item,0
73523804,100231,2016,Accompanying Item,0
73523805,100231,2016,Accompanying Item,0
73523806,100231,2016,Accompanying Item,0
73523807,100231,2016,Accompanying Item,0
73523808,100231,2016,Accompanying Item,0
73523809,100231,2016,Accompanying Item,0
73523801,100232,2016,Accompanying Item,0
735238010,100232,2016,Accompanying Item,0
735238011,100232,2016,Accompanying Item,0
735238012,100232,2016,Accompanying Item,0
735238013,100232,2016,Accompanying Item,0
735238014,100232,2016,Accompanying Item,0
735238015,100232,2016,Accompanying Item,0
735238016,100232,2016,Accompanying Item,0
735238017,100232,2016,Accompanying Item,0
735238018,100232,2016,Accompanying Item,0
735238019,100232,2016,Accompanying Item,0
73523802,100232,2016,Accompanying Item,0
735238020,100232,2016,Accompanying Item,0
735238021,100232,2016,Accompanying Item,0
735238022,100232,2016,Accompanying Item,0
735238023,100232,2016,Accompanying Item,0
735238024,100232,2016,Accompanying Item,0
735238025,100232,2016,Accompanying Item,0
735238026,100232,2016,Accompanying Item,0
735238027,100232,2016,Accompanying Item,0
735238028,100232,2016,Accompanying Item,0
735238029,100232,2016,Accompanying Item,0
73523803,100232,2016,Accompanying Item,0
735238030,100232,2016,Accompanying Item,0
735238031,100232,2016,Accompanying Item,0
735238032,100232,2016,Accompanying Item,0
735238033,100232,2016,Accompanying Item,0
735238034,100232,2016,Accompanying Item,0
735238035,100232,2016,Accompanying Item,0
73523804,100232,2016,Accompanying Item,0
73523805,100232,2016,Accompanying Item,0
73523806,100232,2016,Accompanying Item,0
73523807,100232,2016,Accompanying Item,0
73523808,100232,2016,Accompanying Item,0
73523809,100232,2016,Accompanying Item,0
73533821,100233,2016,Accompanying Item,2
73533821,100235,2016,Accompanying Item,2
73533821,100236,2016,Accompanying Item,2
2201191,10025,2016,Accompanying Item,8
2221181,10025,2016,Accompanying Item,8
2251061,10025,2016,Accompanying Item,8
2251061,10028,2016,Accompanying Item,8
735238020,100283,2016,Main Item,3
735238021,100284,2016,Main Item,3
735238022,100286,2016,Main Item,3
735238023,100287,2016,Main Item,3
735238024,100288,2016,Main Item,3
2251061,10029,2016,Accompanying Item,8
2141161,10029,2016,Main Item,8
73533821,100292,2016,Main Item,5
73523801,100295,2016,Accompanying Item,6
735238010,100295,2016,Accompanying Item,6
735238011,100295,2016,Accompanying Item,6
735238012,100295,2016,Accompanying Item,6
735238013,100295,2016,Accompanying Item,6
735238014,100295,2016,Accompanying Item,6
735238015,100295,2016,Accompanying Item,6
735238016,100295,2016,Accompanying Item,6
735238017,100295,2016,Accompanying Item,6
735238018,100295,2016,Accompanying Item,6
735238019,100295,2016,Accompanying Item,6
73523802,100295,2016,Accompanying Item,6
735238020,100295,2016,Accompanying Item,6
735238021,100295,2016,Accompanying Item,6
735238022,100295,2016,Accompanying Item,6
735238023,100295,2016,Accompanying Item,6
735238024,100295,2016,Accompanying Item,6
735238025,100295,2016,Accompanying Item,6
735238026,100295,2016,Accompanying Item,6
735238027,100295,2016,Accompanying Item,6
735238028,100295,2016,Accompanying Item,6
735238029,100295,2016,Accompanying Item,6
73523803,100295,2016,Accompanying Item,6
735238030,100295,2016,Accompanying Item,6
735238031,100295,2016,Accompanying Item,6
735238032,100295,2016,Accompanying Item,6
735238033,100295,2016,Accompanying Item,6
735238034,100295,2016,Accompanying Item,6
735238035,100295,2016,Accompanying Item,6
73523804,100295,2016,Accompanying Item,6
73523805,100295,2016,Accompanying Item,6
73523806,100295,2016,Accompanying Item,6
73523807,100295,2016,Accompanying Item,6
73523808,100295,2016,Accompanying Item,6
73523809,100295,2016,Accompanying Item,6
73523801,100296,2016,Accompanying Item,6
735238010,100296,2016,Accompanying Item,6
735238011,100296,2016,Accompanying Item,6
735238012,100296,2016,Accompanying Item,6
735238013,100296,2016,Accompanying Item,6
735238014,100296,2016,Accompanying Item,6
735238015,100296,2016,Accompanying Item,6
735238016,100296,2016,Accompanying Item,6
735238017,100296,2016,Accompanying Item,6
735238018,100296,2016,Accompanying Item,6
735238019,100296,2016,Accompanying Item,6
73523802,100296,2016,Accompanying Item,6
