item_id,year,r_id,cat_id,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,potassium,carbs,protein,sugar,dietary_Fiber
10004,2016,1,10,240.0,15.0,7.0,0.0,30.0,1090.0,,20.0,6.0,12.0,3.0
100052,2016,72,0,,,,,,,,,,,
100054,2016,72,5,,,,,,,,,,,
100057,2016,72,9,,,,,,,,,,,
100060,2016,72,9,,,,,,,,,,,
100062,2016,72,11,80.0,6.0,4.0,0.0,20.0,350.0,65.0,4.0,3.0,1.0,1.0
100073,2016,72,11,300.0,7.0,3.0,0.0,0.0,760.0,50.0,52.0,8.0,2.0,3.0
100078,2016,73,5,,,,,,,,,,,
10008,2016,1,10,120.0,3.5,1.0,0.0,30.0,1020.0,,13.0,9.0,2.0,1.0
10012,2016,1,10,360.0,22.0,13.0,0.0,60.0,1390.0,,24.0,17.0,6.0,2.0
10013,2016,1,10,260.0,16.0,7.0,0.0,30.0,1170.0,,24.0,6.0,12.0,4.0
10014,2016,1,10,410.0,24.0,12.0,1.0,100.0,1030.0,,18.0,29.0,7.0,5.0
100155,2016,73,11,240.0,24.0,4.0,0.0,0.0,580.0,,4.0,0.0,3.0,0.0
100159,2016,74,0,1020.0,73.0,9.0,0.0,130.0,2650.0,,72.0,19.0,11.0,5.0
100160,2016,74,0,990.0,73.0,16.0,0.0,370.0,3560.0,,9.0,74.0,3.0,2.0
100161,2016,74,0,300.0,19.0,10.0,0.5,90.0,680.0,,13.0,23.0,4.0,1.0
100162,2016,74,0,,,,,,,,,,,
100163,2016,74,2,210.0,0.0,0.0,0.0,0.0,95.0,,60.0,0.0,60.0,0.0
100164,2016,74,5,430.0,18.0,8.0,1.0,115.0,1310.0,,27.0,40.0,2.0,3.0
100165,2016,74,5,620.0,18.0,1.5,0.0,145.0,2560.0,,93.0,23.0,45.0,9.0
100166,2016,74,5,700.0,36.0,9.0,1.0,265.0,2340.0,,51.0,40.0,8.0,6.0
100168,2016,74,5,820.0,42.0,13.0,0.0,345.0,2500.0,,49.0,62.0,27.0,3.0
100169,2016,74,5,940.0,43.0,11.0,1.0,275.0,2090.0,,80.0,52.0,3.0,5.0
100170,2016,74,5,710.0,45.0,6.0,0.0,160.0,1370.0,,32.0,44.0,6.0,3.0
