Menu_Item_ID,Customizable_Builds,Customizable_Build_ID,Year,Restaurant,Food_Category,Item_Name,Item_Description,Serving_Size,Serving_Size_text,Serving_Size_Unit,Serving_Size_household,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Potassium,Carbohydrates,Protein,Sugar,Dietary_Fiber,Calories_100g,Total_Fat_100g,Saturated_Fat_100g,Trans_Fat_100g,Cholesterol_100g,Sodium_100g,Potassium_100g,Carbohydrates_100g,Protein_100g,Sugar_100g,Dietary_Fiber_100g,Calories_text,Total_Fat_text,Saturated_Fat_text,Trans_Fat_text,Cholesterol_text,Sodium_text,Potassium_text,Carbohydrates_text,Protein_text,Sugar_text,Dietary_Fiber_text,Kids_Meal,Limited_Time_Offer,Regional,Shareable,Combo_Meal
25531,,,2008,White Castle,Beverages,"Big Red, Large","Big Red, Carbonated Soft Drinks, Beverages, Large, 44 fl oz",44,,fl oz,,560,0,0,0,0,125,,139,0,139,0,45,0,0,0,0,10,,11,0,11,0,,,,,,,,,,,,0,0,0,0,0
25532,,,2008,White Castle,Beverages,"Cherry Coca Cola, 10 fl oz","Cherry Coca Cola, Beverages, Carbonated Soft Drinks, 10 fl oz",10,,fl oz,,110,0,0,0,0,5,,30,0,30,0,39,0,0,0,0,2,,11,0,11,0,,,,,,,,,,,,0,0,0,0,0
25533,,,2008,White Castle,Beverages,"Cherry Coca Cola, Small","Cherry Coca Cola, Carbonated Soft Drinks, Beverages, Small, 21 fl oz",21,,fl oz,,230,0,0,0,0,10,,64,0,64,0,39,0,0,0,0,2,,11,0,11,0,,,,,,,,,,,,0,0,0,0,0
25534,,,2008,White Castle,Beverages,"Cherry Coca Cola, Medium","Cherry Coca Cola, Carbonated Soft Drinks, Beverages, Medium, 32 fl oz",32,,fl oz,,360,0,0,0,0,15,,97,0,97,0,40,0,0,0,0,2,,11,0,11,0,,,,,,,,,,,,0,0,0,0,0
25535,,,2008,White Castle,Beverages,"Cherry Coca Cola, Large","Cherry Coca Cola, Carbonated Soft Drinks, Beverages, Large, 44 fl oz",44,,fl oz,,490,0,0,0,0,20,,134,0,134,0,39,0,0,0,0,2,,11,0,11,0,,,,,,,,,,,,0,0,0,0,0
25537,,,2008,White Castle,Beverages,"Coca Cola Classic, Small","Coca Cola Classic, Carbonated, Soft Drinks, Beverages, Small, 21 fl oz",21,,fl oz,,220,0,0,0,0,10,,61,0,61,0,37,0,0,0,0,2,,10,0,10,0,,,,,,,,,,,,0,0,0,0,0
25538,,,2008,White Castle,Beverages,"Coca Cola Classic, Medium","Coca Cola Classic, Carbonated Soft Drinks, Beverages, Medium, 32 fl oz",32,,fl oz,,340,0,0,0,0,10,,93,0,92,0,37,0,0,0,0,1,,10,0,10,0,,,,,,,,,,,,0,0,0,0,0
25539,,,2008,White Castle,Beverages,"Coca Cola Classic, Large","Coca Cola Classic, Carbonated Soft Drinks, Beverages, Large, 44 fl oz",44,,fl oz,,470,0,0,0,0,15,,127,0,127,0,38,0,0,0,0,1,,10,0,10,0,,,,,,,,,,,,0,0,0,0,0
2554,,,2008,Papa Murphy's,Pizza,"Murphy's Combination DeLITE, Large Size Thin Crust Pizza","Murphy's Combination DeLITE, Large Size Thin Crust Pizza, Pizzas, 1 Slice",91,,g,"1 Slice, 1/10 Pizza",195,115,5,0,27,535,,135,105,1,5,214,13,5,0,30,588,,15,12,1,1,,,,,,,,,,,,0,0,0,0,0
25541,,,2008,White Castle,Beverages,"Coke Zero, Small","Coke Zero, Carbonated Soft Drinks, Beverages, Small, 21 fl oz",21,,fl oz,,0,0,0,0,0,10,,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0
