item_id,year,r_id,cat_id,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,potassium,carbs,protein,sugar,dietary_Fiber
100,2012,23.0,3,421.0,22.0,10.0,1.0,80.0,990.0,,37.0,22.0,9.0,1.0
10001,2012,1.0,1,280.0,19.0,6.0,0.0,,330.0,,22.0,5.0,,1.0
10002,2012,1.0,1,1120.0,78.0,23.0,15.0,,1320.0,,89.0,19.0,,6.0
10003,2012,1.0,10,240.0,14.0,9.0,0.0,,1070.0,,11.0,14.0,,1.0
10004,2012,1.0,10,220.0,14.0,6.0,0.0,,1220.0,,23.0,5.0,,2.0
10005,2012,1.0,10,360.0,25.0,12.0,15.0,,870.0,,10.0,25.0,,5.0
10006,2012,1.0,10,410.0,30.0,14.0,5.0,,590.0,,22.0,13.0,,2.0
10007,2012,1.0,10,220.0,10.0,5.0,0.0,,990.0,,23.0,10.0,,6.0
10008,2012,1.0,10,120.0,35.0,1.0,0.0,,970.0,,12.0,12.0,,1.0
10009,2012,1.0,10,130.0,7.0,2.0,0.0,,930.0,,11.0,7.0,,1.0
10010,2012,1.0,10,320.0,25.0,16.0,1.0,,1560.0,,14.0,12.0,,2.0
10011,2012,1.0,10,310.0,22.0,13.0,5.0,,880.0,,17.0,12.0,,1.0
10012,2012,1.0,10,250.0,14.0,9.0,0.0,,1230.0,,13.0,14.0,,1.0
10013,2012,1.0,10,260.0,16.0,7.0,0.0,,1430.0,,27.0,5.0,,3.0
10014,2012,1.0,10,420.0,28.0,13.0,15.0,,1040.0,,16.0,28.0,,6.0
10015,2012,1.0,10,380.0,29.0,18.0,1.0,,1810.0,,18.0,14.0,,3.0
10016,2012,1.0,10,370.0,26.0,15.0,5.0,,1040.0,,22.0,14.0,,1.0
10017,2012,1.0,10,470.0,34.0,16.0,1.0,,680.0,,28.0,14.0,,2.0
10018,2012,1.0,10,160.0,8.0,25.0,0.0,,1090.0,,14.0,8.0,,1.0
10019,2012,1.0,10,150.0,4.0,1.0,0.0,,1140.0,,16.0,14.0,,1.0
10020,2012,1.0,8,230.0,15.0,7.0,0.0,,400.0,,12.0,13.0,,3.0
10021,2012,1.0,8,410.0,27.0,6.0,0.0,,950.0,,24.0,19.0,,3.0
10022,2012,1.0,8,260.0,15.0,3.0,0.0,,940.0,,20.0,13.0,,2.0
10023,2012,1.0,8,440.0,30.0,45.0,0.0,,620.0,,28.0,17.0,,3.0
10024,2012,1.0,8,430.0,21.0,3.0,0.0,,1400.0,,36.0,25.0,,2.0
10025,2012,1.0,8,220.0,19.0,4.0,0.0,,370.0,,8.0,4.0,,2.0
10026,2012,1.0,8,310.0,20.0,45.0,0.0,,690.0,,8.0,25.0,,2.0
10027,2012,1.0,8,540.0,36.0,10.0,0.0,,1560.0,,29.0,28.0,,5.0
10028,2012,1.0,8,230.0,15.0,3.0,0.0,,500.0,,19.0,7.0,,2.0
10029,2012,1.0,8,130.0,8.0,3.0,0.0,,240.0,,9.0,7.0,,2.0
10030,2012,1.0,8,310.0,27.0,5.0,0.0,,510.0,,12.0,6.0,,3.0
10031,2012,1.0,8,340.0,4.0,1.0,0.0,,2060.0,,35.0,45.0,,6.0
10032,2012,1.0,8,1110.0,66.0,18.0,1.0,,3120.0,,67.0,65.0,,8.0
