item_id,year,item_name,item_description
21784,2012,"Veggie Sandwich on Italian White Bread, Large","Veggie Sandwich on Italian White Bread, Large"
21785,2012,"Veggie Sandwich on Chipotle Jack Bread, Regular","Veggie Sandwich on Chipotle Jack Bread, Regular"
21786,2012,"Veggie Sandwich on Rosemary Parmesan Bread, Regular","Veggie Sandwich on Rosemary Parmesan Bread, Regular"
21787,2012,"Veggie Sandwich on Wheat Bread, Regular","Veggie Sandwich on Wheat Bread, Regular"
21788,2012,"Veggie Sandwich on Italian White Bread, Regular","Veggie Sandwich on Italian White Bread, Regular"
21789,2012,"Veggie Sandwich on Chipotle Jack Bread, Small","Veggie Sandwich on Chipotle Jack Bread, Small"
21790,2012,"Veggie Sandwich on Rosemary Parmesan Bread, Small","Veggie Sandwich on Rosemary Parmesan Bread, Small"
21791,2012,"Veggie Sandwich on Wheat Bread, Small","Veggie Sandwich on Wheat Bread, Small"
21792,2012,"Veggie Sandwich on Italian White Bread, Small","Veggie Sandwich on Italian White Bread, Small"
21793,2012,"Broccoli Cheese Soup, Bread Bowl","Broccoli Cheese Soup, Bread Bowl"
21795,2012,"Baja Chicken Sandwich on Whole Grain Flat Bread, Regular","Baja Chicken Sandwich on Whole Grain Flat Bread, Regular"
21796,2012,"Black Angus Steak Sandwich on Whole Grain Flat Bread, Regular","Black Angus Steak Sandwich on Whole Grain Flat Bread, Regular"
21797,2012,"Buffalo Chicken Sandwich on Whole Grain Flat Bread, Regular","Buffalo Chicken Sandwich on Whole Grain Flat Bread, Regular"
21799,2012,"Chicken Carbonara Sandwich on Whole Grain Flat Bread, Regular","Chicken Carbonara Sandwich on Whole Grain Flat Bread, Regular"
2180,2012,"Zesty Veggie, 15"" To Go Pizza","Zesty Veggie, 15"" To Go Pizza"
21800,2012,"Chipotle Prime Rib Sandwich on Whole Grain Flat Bread, Regular","Chipotle Prime Rib Sandwich on Whole Grain Flat Bread, Regular"
21801,2012,"Classic Club Sandwich on Whole Grain Flat Bread, Regular","Classic Club Sandwich on Whole Grain Flat Bread, Regular"
21802,2012,"Classic Italian Sandwich on Whole Grain Flat Bread, Regular","Classic Italian Sandwich on Whole Grain Flat Bread, Regular"
21803,2012,"Double Cheese Cheesesteak on Whole Grain Flat Bread, Regular","Double Cheese Cheesesteak on Whole Grain Flat Bread, Regular"
21804,2012,"Harvest Chicken Sub Sandwich on Whole Grain Flat Bread, Regular","Harvest Chicken Sub Sandwich on Whole Grain Flat Bread, Regular"
21805,2012,"Honey Bourbon Chicken Sandwich on Whole Grain Flat Bread, Regular","Honey Bourbon Chicken Sandwich on Whole Grain Flat Bread, Regular"
21806,2012,"Honey Mustard Chicken Sandwich on Whole Grain Flat Bread, Regular","Honey Mustard Chicken Sandwich on Whole Grain Flat Bread, Regular"
21807,2012,"Honey-Cured Ham Sandwich on Whole Grain Flat Bread, Regular","Honey-Cured Ham Sandwich on Whole Grain Flat Bread, Regular"
21808,2012,"Mesquite Chicken Sandwich on Whole Grain Flat Bread, Regular","Mesquite Chicken Sandwich on Whole Grain Flat Bread, Regular"
21809,2012,"Oven-Roasted Turkey Sandwich on Whole Grain Flat Bread, Regular","Oven-Roasted Turkey Sandwich on Whole Grain Flat Bread, Regular"
2181,2012,Apple Dessert Pizza,Apple Dessert Pizza
21810,2012,"Cuban Pulled Pork Sandwich on Whole Grain Flat Bread, Regular","Cuban Pulled Pork Sandwich on Whole Grain Flat Bread, Regular"
21811,2012,"Prime Rib & Peppercorn Sandwich on Whole Grain Flat Bread, Regular","Prime Rib & Peppercorn Sandwich on Whole Grain Flat Bread, Regular"
21812,2012,"Prime Rib & Blue Sandwich on Whole Grain Flat Bread, Regular","Prime Rib & Blue Sandwich on Whole Grain Flat Bread, Regular"
21813,2012,"Prime Rib Mushroom & Swiss Sandwich on Whole Grain Flatbread, Regular","Prime Rib Mushroom & Swiss Sandwich on Whole Grain Flatbread, Regular"
21814,2012,"Southern BBQ Pulled Pork on Whole Grain Flat Bread, Regular","Southern BBQ Pulled Pork on Whole Grain Flat Bread, Regular"
21815,2012,"The Traditional Sandwich on Whole Grain Flat Bread, Regular","The Traditional Sandwich on Whole Grain Flat Bread, Regular"
21816,2012,"Toasty Ham & Cheese on Whole Grain Flatbread, Kids","Toasty Ham & Cheese on Whole Grain Flatbread, Kids"
21817,2012,"Toasty Turkey & Cheese on Whole Grain Flatbread, Kids","Toasty Turkey & Cheese on Whole Grain Flatbread, Kids"
21818,2012,"Tuna Melt Sandwich on Whole Grain Flat Bread, Regular","Tuna Melt Sandwich on Whole Grain Flat Bread, Regular"
21819,2012,"Turkey & Ham Sandwich on Whole Grain Flat Bread, Regular","Turkey & Ham Sandwich on Whole Grain Flat Bread, Regular"
2182,2012,"Crunchy Thin Crust, Cheese, Medium, 12''","Crunchy Thin Crust, Cheese, Medium, 12''"
21820,2012,"Turkey Bacon Guacamole Sandwich on Flat Bread, Regular","Turkey Bacon Guacamole Sandwich on Flat Bread, Regular"
21821,2012,"Turkey Ranch & Swiss Sandwich on Whole Grain Flat Bread, Regular","Turkey Ranch & Swiss Sandwich on Whole Grain Flat Bread, Regular"
21822,2012,"Ultimate Turkey Club Sandwich on Whole Grain Flat Bread, Regular","Ultimate Turkey Club Sandwich on Whole Grain Flat Bread, Regular"
21823,2012,"Caprese Sandwich on Whole Grain Flat Bread, Regular","Caprese Sandwich on Whole Grain Flat Bread, Regular"
21824,2012,"Veggie Sandwich on Whole Grain Flat Bread, Regular","Veggie Sandwich on Whole Grain Flat Bread, Regular"
21825,2012,"1/2 Mild Chipotle Mayo, for Small Sandwiches","1/2 Mild Chipotle Mayo, for Small Sandwiches"
21826,2012,"1/2 Mild Chipotle Mayo, for Large Sandwiches","1/2 Mild Chipotle Mayo, for Large Sandwiches"
21827,2012,"1/2 Mild Chipotle Mayo, for Regular Sandwiches","1/2 Mild Chipotle Mayo, for Regular Sandwiches"
21829,2012,"Acai Vinaigrette, for Regular Salads","Acai Vinaigrette, for Regular Salads"
21830,2012,"Acai Vinaigrette, for Small Salads","Acai Vinaigrette, for Small Salads"
21832,2012,"Acai Vinaigrette, for Regular Sandwiches","Acai Vinaigrette, for Regular Sandwiches"
21833,2012,"Acai Vinaigrette, for Small Sandwiches","Acai Vinaigrette, for Small Sandwiches"
21835,2012,"Au Jus, for Sandwiches","Au Jus, for Sandwiches"
21838,2012,"Bacon, for Bullet Sandwiches","Bacon, for Bullet Sandwiches"
21839,2012,"Bacon, for Regular Salads","Bacon, for Regular Salads"
21840,2012,"Bacon, for Regular Sandwiches","Bacon, for Regular Sandwiches"
21841,2012,"Bacon, for Sammies","Bacon, for Sammies"
21842,2012,"Bacon, for Small Salads","Bacon, for Small Salads"
21843,2012,"Bacon, for Small Sandwiches","Bacon, for Small Sandwiches"
21844,2012,"Bacon, for Torpedo Sandwiches","Bacon, for Torpedo Sandwiches"
21845,2012,"Bacon, for Large Sandwiches","Bacon, for Large Sandwiches"
