combo_id,item_id,year,builds,cat_id
103271011,10020,2012,Main Item,8
103271012,10034,2012,Main Item,8
103271013,10035,2012,Main Item,8
103271014,10038,2012,Main Item,8
103271015,10039,2012,Main Item,8
103271016,10042,2012,Main Item,8
103271017,10043,2012,Main Item,8
103271018,10046,2012,Main Item,8
103271019,10047,2012,Main Item,8
1032710110,10050,2012,Main Item,8
1032710111,10051,2012,Main Item,8
1032710112,10054,2012,Main Item,8
1032710113,10055,2012,Main Item,8
1032710114,10058,2012,Main Item,8
1032710115,10059,2012,Main Item,8
1032710116,10062,2012,Main Item,8
1032710117,10063,2012,Main Item,8
1032710118,10066,2012,Main Item,8
1032710119,10067,2012,Main Item,8
1032710120,10070,2012,Main Item,8
1032710121,10071,2012,Main Item,8
1032710122,10074,2012,Main Item,8
1032710123,10075,2012,Main Item,8
103361041,10076,2012,Main Item,9
103361042,10077,2012,Main Item,9
103361043,10078,2012,Main Item,9
103361044,10079,2012,Main Item,9
103361045,10080,2012,Main Item,9
103361046,10081,2012,Main Item,9
103361047,10082,2012,Main Item,9
103361048,10083,2012,Main Item,9
103361049,10084,2012,Main Item,9
1033610410,10085,2012,Main Item,3
1033610411,10086,2012,Main Item,3
103181051,10090,2012,Main Item,3
103181052,10091,2012,Main Item,3
103181053,10092,2012,Main Item,3
103181054,10093,2012,Main Item,3
103181055,10094,2012,Main Item,9
103181056,10095,2012,Main Item,9
103181057,10096,2012,Main Item,9
103181058,10097,2012,Main Item,9
103181059,10098,2012,Main Item,9
103121021,10102,2012,Main Item,3
103121022,10103,2012,Main Item,3
103121023,10104,2012,Main Item,3
103121024,10105,2012,Main Item,3
103121025,10106,2012,Main Item,3
103121026,10107,2012,Main Item,3
103121027,10108,2012,Main Item,3
103121028,10109,2012,Main Item,3
103121029,10110,2012,Main Item,3
1031210210,10111,2012,Main Item,3
1033610422,10112,2012,Main Item,9
1033610423,10113,2012,Main Item,9
1033610424,10114,2012,Main Item,9
1031810510,10117,2012,Main Item,5
1031810511,10118,2012,Main Item,5
1031810512,10119,2012,Main Item,5
1031810513,10120,2012,Main Item,5
1031810514,10121,2012,Main Item,5
103121071,10129,2012,Main Item,0
103121072,10130,2012,Main Item,0
103121073,10131,2012,Main Item,0
103121074,10132,2012,Main Item,0
103121075,10133,2012,Main Item,0
103121076,10134,2012,Main Item,0
103121077,10135,2012,Main Item,0
103121078,10136,2012,Main Item,0
103121079,10137,2012,Main Item,0
1031210710,10138,2012,Main Item,0
103121061,10149,2012,Main Item,0
103121062,10150,2012,Main Item,0
103121063,10151,2012,Main Item,0
103121064,10152,2012,Main Item,0
103121065,10153,2012,Main Item,0
103121066,10154,2012,Main Item,0
103121067,10155,2012,Main Item,0
103121068,10156,2012,Main Item,0
103121069,10157,2012,Main Item,0
1031210610,10158,2012,Main Item,0
1033610425,10166,2012,Main Item,5
1033610426,10167,2012,Main Item,5
1033610427,10168,2012,Main Item,5
1033610428,10169,2012,Main Item,5
1033610429,10170,2012,Main Item,5
1033610430,10171,2012,Main Item,5
1033610431,10172,2012,Main Item,5
1033610432,10173,2012,Main Item,5
1033610433,10175,2012,Main Item,5
10351031,10188,2012,Main Item,5
10351032,10189,2012,Main Item,5
10351033,10190,2012,Main Item,5
10351034,10191,2012,Main Item,5
1031810515,10217,2012,Main Item,7
103121021,10219,2012,Accompanying Item,6
1031210210,10219,2012,Accompanying Item,6
103121022,10219,2012,Accompanying Item,6
103121023,10219,2012,Accompanying Item,6
103121024,10219,2012,Accompanying Item,6
103121025,10219,2012,Accompanying Item,6
103121026,10219,2012,Accompanying Item,6
103121027,10219,2012,Accompanying Item,6
103121028,10219,2012,Accompanying Item,6
103121029,10219,2012,Accompanying Item,6
103121021,10222,2012,Accompanying Item,6
1031210210,10222,2012,Accompanying Item,6
103121022,10222,2012,Accompanying Item,6
103121023,10222,2012,Accompanying Item,6
103121024,10222,2012,Accompanying Item,6
103121025,10222,2012,Accompanying Item,6
103121026,10222,2012,Accompanying Item,6
103121027,10222,2012,Accompanying Item,6
103121028,10222,2012,Accompanying Item,6
103121029,10222,2012,Accompanying Item,6
103121021,10223,2012,Accompanying Item,0
