combo_id,item_id,year,builds,cat_id
10331121,10002,2015,Accompanying Item,1
103361131,10002,2015,Accompanying Item,1
1033611310,10002,2015,Accompanying Item,1
1033611311,10002,2015,Accompanying Item,1
1033611312,10002,2015,Accompanying Item,1
1033611313,10002,2015,Accompanying Item,1
1033611314,10002,2015,Accompanying Item,1
1033611315,10002,2015,Accompanying Item,1
1033611316,10002,2015,Accompanying Item,1
1033611317,10002,2015,Accompanying Item,1
1033611318,10002,2015,Accompanying Item,1
1033611319,10002,2015,Accompanying Item,1
103361132,10002,2015,Accompanying Item,1
1033611320,10002,2015,Accompanying Item,1
1033611321,10002,2015,Accompanying Item,1
1033611322,10002,2015,Accompanying Item,1
1033611323,10002,2015,Accompanying Item,1
1033611324,10002,2015,Accompanying Item,1
1033611325,10002,2015,Accompanying Item,1
103361133,10002,2015,Accompanying Item,1
103361134,10002,2015,Accompanying Item,1
103361136,10002,2015,Accompanying Item,1
103361137,10002,2015,Accompanying Item,1
103361138,10002,2015,Accompanying Item,1
103361139,10002,2015,Accompanying Item,1
103321111,10004,2015,Accompanying Item,10
2152011351,100052,2015,Main Item,0
2151611481,100053,2015,Main Item,5
2151711421,100054,2015,Main Item,5
2151711531,100055,2015,Main Item,8
2152411371,100056,2015,Main Item,9
2152011331,100057,2015,Main Item,9
2153311391,100058,2015,Main Item,9
2151511591,100059,2015,Main Item,9
2151711411,100060,2015,Main Item,9
2151911611,100061,2015,Main Item,9
2151711411,100062,2015,Accompanying Item,11
2151711421,100062,2015,Accompanying Item,11
2151111401,100063,2015,Accompanying Item,11
2151111571,100063,2015,Accompanying Item,11
2151511591,100063,2015,Accompanying Item,11
2151711411,100063,2015,Accompanying Item,11
2151711421,100063,2015,Accompanying Item,11
2151011431,100064,2015,Accompanying Item,11
2151211291,100064,2015,Accompanying Item,11
2151511591,100065,2015,Accompanying Item,11
2151511591,100066,2015,Accompanying Item,11
2151511591,100067,2015,Accompanying Item,11
2151511591,100068,2015,Accompanying Item,11
2151511591,100069,2015,Accompanying Item,11
2151511591,100070,2015,Accompanying Item,11
2151511591,100071,2015,Accompanying Item,11
2153311391,100072,2015,Accompanying Item,11
2151111401,100073,2015,Accompanying Item,11
2151711411,100073,2015,Accompanying Item,11
2151711421,100073,2015,Accompanying Item,11
2151111401,100074,2015,Accompanying Item,11
2151711411,100074,2015,Accompanying Item,11
2151711421,100074,2015,Accompanying Item,11
2153211649,100074,2015,Accompanying Item,11
2151111401,100075,2015,Accompanying Item,11
2153211649,100076,2015,Accompanying Item,11
2166811731,100078,2015,Main Item,5
216000000000,100079,2015,Main Item,5
216000000000,100080,2015,Main Item,5
216000000000,100081,2015,Main Item,5
216000000000,100082,2015,Main Item,5
