item_id,year,r_id,cat_id,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,potassium,carbs,protein,sugar,dietary_Fiber
10001,2015,1,1,130.0,4.0,1.0,0.0,0.0,200.0,,19.0,4.0,3.0,1.0
10002,2015,1,1,500.0,15.0,3.5,0.0,10.0,820.0,,77.0,16.0,11.0,3.0
10004,2015,1,10,240.0,15.0,7.0,0.0,30.0,1090.0,,20.0,6.0,12.0,3.0
100052,2015,72,0,,,,,,,,,,,
100053,2015,72,5,,,,,,,,,,,
100054,2015,72,5,,,,,,,,,,,
100055,2015,72,8,,,,,,,,,,,
100056,2015,72,9,,,,,,,,,,,
100057,2015,72,9,,,,,,,,,,,
100058,2015,72,9,,,,,,,,,,,
100059,2015,72,9,,,,,,,,,,,
100060,2015,72,9,,,,,,,,,,,
100061,2015,72,9,,,,,,,,,,,
100062,2015,72,11,80.0,6.0,4.0,0.0,20.0,350.0,65.0,3.0,3.0,1.0,1.0
100063,2015,72,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100064,2015,72,11,160.0,12.0,8.0,0.0,40.0,690.0,130.0,7.0,6.0,1.0,2.0
100065,2015,72,11,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
100066,2015,72,11,80.0,7.0,4.5,0.0,20.0,120.0,20.0,0.0,5.0,0.0,0.0
100067,2015,72,11,10.0,1.0,0.5,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0
100068,2015,72,11,85.0,7.0,1.0,0.0,0.0,200.0,250.0,5.0,1.0,0.0,2.0
100069,2015,72,11,90.0,3.0,1.5,0.0,10.0,620.0,95.0,10.0,3.0,6.0,1.0
100070,2015,72,11,35.0,1.0,0.0,0.0,0.0,560.0,75.0,7.0,1.0,5.0,0.0
100071,2015,72,11,35.0,0.0,0.0,0.0,0.0,570.0,180.0,7.0,1.0,3.0,2.0
100072,2015,72,11,65.0,4.0,1.5,0.0,25.0,180.0,120.0,0.0,9.0,0.0,0.0
100073,2015,72,11,310.0,7.0,2.5,0.0,0.0,780.0,50.0,53.0,8.0,2.0,3.0
100074,2015,72,11,260.0,5.0,2.0,0.0,0.0,630.0,0.0,44.0,9.0,2.0,5.0
100075,2015,72,11,30.0,0.0,0.0,0.0,0.0,90.0,0.0,7.0,0.0,4.0,1.0
100076,2015,72,11,440.0,36.0,23.0,0.5,110.0,660.0,100.0,1.0,28.0,1.0,0.0
100077,2015,73,0,100.0,7.0,1.0,0.0,5.0,440.0,,8.0,1.0,4.0,2.0
100078,2015,73,5,,,,,,,,,,,
100079,2015,73,5,580.0,27.0,15.0,0.5,80.0,620.0,,64.0,20.0,4.0,2.0
100080,2015,73,5,700.0,36.0,19.0,0.5,100.0,1040.0,,64.0,29.0,4.0,2.0
100081,2015,73,5,640.0,24.0,7.0,0.0,50.0,1040.0,,76.0,32.0,11.0,6.0
100082,2015,73,5,740.0,38.0,10.0,0.0,15.0,1340.0,,65.0,32.0,3.0,4.0
100083,2015,73,5,630.0,28.0,15.0,0.5,95.0,940.0,,68.0,26.0,4.0,3.0
100084,2015,73,5,170.0,7.0,1.0,0.0,0.0,260.0,,22.0,8.0,2.0,1.0
100085,2015,73,5,330.0,13.0,,0.0,40.0,280.0,,39.0,11.0,2.0,2.0
100086,2015,73,5,330.0,9.0,2.5,0.0,15.0,430.0,,47.0,14.0,6.0,3.0
100087,2015,73,5,,,,,,,,,,,
100088,2015,73,5,,,,,,,,,,,
100089,2015,73,8,330.0,30.0,4.5,0.0,25.0,700.0,,9.0,5.0,4.0,1.0
100090,2015,73,8,70.0,2.0,0.0,0.0,15.0,280.0,,7.0,4.0,2.0,1.0
100091,2015,73,8,650.0,60.0,9.0,1.0,45.0,1410.0,,16.0,10.0,7.0,3.0
100092,2015,73,8,120.0,4.0,0.0,0.0,20.0,570.0,,12.0,9.0,4.0,3.0
100093,2015,73,8,110.0,4.0,2.0,0.0,35.0,290.0,,7.0,11.0,2.0,2.0
100094,2015,73,8,220.0,8.0,4.0,0.0,70.0,580.0,,15.0,23.0,4.0,4.0
100095,2015,73,8,150.0,10.0,3.5,0.0,25.0,520.0,,8.0,9.0,3.0,2.0
100096,2015,73,8,310.0,19.0,7.0,0.0,55.0,1030.0,,16.0,19.0,6.0,3.0
100097,2015,73,9,160.0,3.5,0.5,0.0,0.0,290.0,,28.0,5.0,3.0,1.0
100098,2015,73,9,630.0,28.0,7.0,0.0,45.0,1320.0,,72.0,24.0,18.0,4.0
100099,2015,73,9,400.0,7.0,2.0,0.0,15.0,1085.0,,64.0,20.0,12.0,4.0
100100,2015,73,9,580.0,25.0,5.0,0.0,35.0,1550.0,,65.0,26.0,11.0,5.0
100101,2015,73,9,400.0,8.0,1.0,0.0,25.0,1160.0,,63.0,21.0,10.0,5.0
100102,2015,73,9,470.0,11.0,4.5,0.0,20.0,1000.0,,77.0,18.0,19.0,4.0
100103,2015,73,9,340.0,5.0,1.0,0.0,0.0,600.0,,63.0,11.0,11.0,4.0
100104,2015,73,9,500.0,13.0,5.0,0.5,45.0,1900.0,,70.0,31.0,8.0,4.0
100105,2015,73,9,710.0,17.0,7.0,0.5,65.0,2615.0,,99.0,42.0,12.0,6.0
100106,2015,73,9,630.0,33.0,11.0,0.0,70.0,1450.0,,52.0,34.0,7.0,5.0
100107,2015,73,9,515.0,25.0,7.5,0.0,50.0,1235.0,,47.0,26.0,5.0,4.0
100108,2015,73,9,1110.0,59.0,20.0,0.5,130.0,2580.0,,86.0,62.0,11.0,8.0
100109,2015,73,9,945.0,47.0,14.5,0.5,105.0,2275.0,,80.0,50.0,7.0,7.0
100110,2015,73,9,1530.0,57.0,28.0,0.5,175.0,3580.0,,122.0,86.0,16.0,11.0
100111,2015,73,9,1310.0,66.5,20.5,0.0,140.0,3190.0,,114.0,71.0,12.0,10.0
100112,2015,73,9,450.0,16.0,8.0,0.0,60.0,1620.0,,51.0,25.0,14.0,2.0
100113,2015,73,9,310.0,7.5,3.0,0.0,35.0,1010.0,,41.0,17.0,6.0,2.0
100114,2015,73,9,750.0,27.0,13.0,0.0,105.0,2770.0,,84.0,43.0,24.0,3.0
100115,2015,73,9,530.0,15.0,6.0,0.0,70.0,1780.0,,68.0,31.0,11.0,2.0
100116,2015,73,9,1070.0,37.0,19.0,0.0,150.0,3960.0,,121.0,62.0,34.0,5.0
100117,2015,73,9,770.0,21.0,9.0,0.0,105.0,2580.0,,100.0,47.0,15.0,4.0
100118,2015,73,9,520.0,20.0,9.0,0.0,65.0,1860.0,,56.0,27.0,18.0,2.0
100119,2015,73,9,410.0,15.5,6.0,0.0,50.0,1240.0,,44.0,23.0,7.0,2.0
10012,2015,1,10,370.0,23.0,14.0,1.0,50.0,1410.0,,24.0,17.0,6.0,2.0
100120,2015,73,9,850.0,33.0,14.0,0.0,115.0,3120.0,,92.0,45.0,31.0,3.0
100121,2015,73,9,680.0,26.0,9.5,0.0,95.0,2100.0,,72.0,41.0,12.0,3.0
100122,2015,73,9,1210.0,46.0,20.0,0.0,165.0,4440.0,,132.0,66.0,44.0,5.0
100123,2015,73,9,980.0,37.0,14.0,0.0,135.0,3020.0,,103.0,58.0,18.0,5.0
100124,2015,73,9,720.0,41.0,10.0,0.0,35.0,1720.0,,59.0,17.0,8.0,4.0
100125,2015,73,9,460.0,13.0,5.5,0.0,25.0,1300.0,,67.0,16.0,6.0,4.0
100126,2015,73,9,610.0,22.0,7.0,0.0,15.0,1790.0,,70.0,35.0,7.0,5.0
100127,2015,73,9,520.0,14.5,4.5,0.0,0.0,1495.0,,67.0,30.0,7.0,5.0
100128,2015,73,9,950.0,33.0,11.0,0.0,25.0,2800.0,,112.0,53.0,11.0,8.0
100129,2015,73,9,810.0,22.0,6.5,0.0,0.0,2310.0,,108.0,46.0,10.0,7.0
10013,2015,1,10,260.0,16.0,7.0,0.0,30.0,1170.0,,24.0,6.0,12.0,4.0
100130,2015,73,9,1300.0,45.0,15.0,0.0,35.0,3810.0,,155.0,72.0,16.0,10.0
100131,2015,73,9,1100.0,29.0,9.0,0.0,5.0,3125.0,,149.0,63.0,15.0,9.0
100132,2015,73,9,510.0,15.0,9.0,0.0,70.0,1250.0,,64.0,29.0,6.0,4.0
100133,2015,73,9,600.0,26.0,12.0,0.0,55.0,1700.0,,66.0,25.0,8.0,3.0
100134,2015,73,11,50.0,4.0,2.5,0.0,15.0,25.0,,1.0,4.0,0.0,0.0
100135,2015,73,11,140.0,14.0,2.0,0.0,0.0,330.0,,2.0,1.0,1.0,0.0
100136,2015,73,11,35.0,2.0,0.0,0.0,0.0,95.0,,4.0,1.0,2.0,1.0
100137,2015,73,11,120.0,9.0,5.0,0.0,25.0,180.0,,1.0,11.0,1.0,0.0
100138,2015,73,11,45.0,3.0,0.5,0.0,0.0,125.0,,5.0,1.0,3.0,1.0
100139,2015,73,11,160.0,11.0,7.0,0.5,35.0,240.0,,2.0,14.0,1.0,0.0
10014,2015,1,10,400.0,24.0,13.0,0.5,100.0,1100.0,,17.0,29.0,7.0,5.0
100140,2015,73,11,60.0,3.5,0.5,0.0,0.0,150.0,,6.0,1.0,3.0,1.0
100141,2015,73,11,40.0,0.5,0.0,0.0,0.0,460.0,,9.0,1.0,8.0,0.0
100142,2015,73,11,70.0,1.0,0.0,0.0,0.0,770.0,,15.0,1.0,13.0,1.0
100143,2015,73,11,100.0,1.0,0.0,0.0,0.0,1080.0,,20.0,1.0,18.0,1.0
100144,2015,73,11,50.0,4.0,2.5,0.0,13.0,25.0,,1.0,4.0,0.0,0.0
100145,2015,73,11,40.0,3.5,0.0,0.0,2.0,270.0,,2.0,1.0,0.0,0.0
100146,2015,73,11,80.0,6.0,4.0,0.0,20.0,40.0,,1.0,6.0,0.0,0.0
100147,2015,73,11,60.0,5.0,0.5,0.0,5.0,450.0,,3.0,1.0,1.0,1.0
100148,2015,73,11,90.0,7.0,1.0,0.0,5.0,630.0,,4.0,1.0,1.0,1.0
100149,2015,73,11,5.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0
100150,2015,73,11,50.0,0.0,0.0,0.0,0.0,310.0,,13.0,0.0,8.0,0.0
100151,2015,73,11,5.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0
100152,2015,73,11,10.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,1.0,0.0
100153,2015,73,11,230.0,23.0,3.5,0.0,0.0,550.0,,4.0,1.0,2.0,1.0
100154,2015,73,11,230.0,21.0,3.0,0.0,10.0,630.0,,10.0,1.0,9.0,0.0
100155,2015,73,11,240.0,24.0,4.0,0.0,0.0,580.0,,4.0,0.0,3.0,0.0
100156,2015,73,11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
100157,2015,73,11,80.0,2.5,0.0,0.0,25.0,670.0,,2.0,13.0,1.0,0.0
100158,2015,74,0,350.0,20.0,3.0,0.0,,900.0,,10.0,30.0,,
100159,2015,74,0,840.0,55.0,7.0,0.0,,2180.0,,66.0,19.0,,
100160,2015,74,0,760.0,49.0,11.0,0.0,,3260.0,,8.0,72.0,,
100161,2015,74,0,270.0,16.0,7.0,0.5,,710.0,,15.0,19.0,,
100162,2015,74,0,,,,,,,,,,,
100163,2015,74,2,210.0,0.0,0.0,0.0,,95.0,,60.0,0.0,,
100164,2015,74,5,600.0,27.0,13.0,1.0,,1820.0,,39.0,49.0,,
100165,2015,74,5,620.0,18.0,1.5,0.0,,2560.0,,93.0,23.0,,
100166,2015,74,5,720.0,38.0,10.0,1.0,,2600.0,,45.0,40.0,,
100167,2015,74,5,350.0,0.0,0.0,0.0,,30.0,,62.0,,,
100168,2015,74,5,850.0,51.0,22.0,0.5,,2300.0,,35.0,62.0,,
100169,2015,74,5,900.0,38.0,12.0,0.0,,2850.0,,81.0,60.0,,
100170,2015,74,5,500.0,24.0,2.5,0.0,,1190.0,,27.0,43.0,,
100171,2015,74,5,340.0,8.0,0.0,0.0,,460.0,,0.0,58.0,,
100172,2015,74,5,330.0,11.0,2.5,0.0,,1230.0,,10.0,49.0,,
100173,2015,74,5,650.0,27.0,6.0,0.0,,1980.0,,72.0,29.0,,
100174,2015,74,5,790.0,44.0,15.0,1.5,,1940.0,,59.0,39.0,,
100175,2015,74,5,290.0,6.0,1.5,0.0,,1300.0,,33.0,26.0,,
100176,2015,74,5,310.0,15.0,1.5,0.0,,740.0,,17.0,27.0,,
100177,2015,74,5,220.0,4.5,0.0,0.0,,340.0,,7.0,33.0,,
100178,2015,74,5,250.0,5.0,0.0,0.0,,380.0,,7.0,39.0,,
100179,2015,74,5,430.0,6.0,1.0,0.0,,3110.0,,35.0,56.0,,
10018,2015,1,10,220.0,9.0,2.5,0.0,25.0,1060.0,,23.0,12.0,4.0,3.0
100180,2015,74,5,110.0,2.0,0.0,0.0,,1240.0,,0.0,22.0,,
100181,2015,74,5,270.0,5.0,1.0,0.0,,840.0,,34.0,22.0,,
100182,2015,74,5,260.0,4.0,1.0,0.0,,710.0,,33.0,22.0,,
100183,2015,74,5,250.0,20.0,11.0,0.0,,460.0,,4.0,14.0,,
100184,2015,74,5,1050.0,74.0,20.0,2.0,,2160.0,,64.0,31.0,,
100185,2015,74,5,410.0,28.0,3.0,0.0,,430.0,,32.0,8.0,,
100186,2015,74,5,1000.0,56.0,13.0,1.5,,4150.0,,57.0,66.0,,
