item_id,year,item_name,item_description
10001,2015,Toasted Breadstick,"Toasted Breadstick, Lunch-Sized Portion, Lunch Combos"
10002,2015,Toasted Garlic Breadstick Basket,"Toasted Garlic Breadstick Basket, Soups, Salads & Sides"
10004,2015,"Tomato Basil Soup, Lunch-Sized Portion","Tomato Basil Soup, Lunch-Sized Portion, Lunch Combos"
100052,2015,Lil' Chicken Nachos Kids Meal,"Lil' Chicken Nachos Kids Meal w/ Handmade Tortilla Chips, Grilled Chicken & 3-Cheese Queso, Side & Drink, Kids Meals; Choice of Side: Applesauce, Beans or Tortilla Chips; Choice of Drink: 100% Juice, 1% Milk or Small Fountain Drink"
100053,2015,Craft 2 Naked Burrito,"Craft 2 Naked Burrito; Choice of: Rice, Beans, Meat, Sauces, Salsa & Toppings, Craft 2 Menu"
100054,2015,Burrito Bowl,Burrito Bowl
100055,2015,Craft 2 Naked Taco Salad,"Craft 2 Naked Taco Salad w/ Lettuce; Choice of: Meat, Dressing, Salsa & Toppings, Craft 2 Menu"
100056,2015,Lil' Naked Burrito Kids Meal,"Lil' Naked Burrito Kids Meal w/ Side & Drink, Kids Meals; Choice of Side: Applesauce, Beans or Tortilla Chips; Choice of Drink: 100% Juice, 1% Milk or Small Fountain Drink"
100057,2015,Grilled Quesadilla Kids Meal,"Grilled Quesadilla Kids Meal w/ Flour Tortilla, Side & Drink, Kids Meal; Choice of Side: Applesauce, Beans or Tortilla Chips; Choice of Drink: 100% Juice, 1% Milk or Small Fountain Drink"
100058,2015,Taco Kids Meal,"Taco Kids Meal w/ 1 Taco, Side & Drink, Kids Meal; Choice of Side: Applesauce, Beans or Tortilla Chips; Choice of Drink: 100% Juice, 1% Milk or Small Fountain Drink"
100059,2015,Smothered Burrito,Smothered Burrito
100060,2015,Burrito,Burrito
100061,2015,Taco,Taco
100062,2015,"Queso Diablo, Burritos","Queso Diablo, Add, for Burritos, Bowls & Breakfast Burritos, Breakfast"
