item_id,year,r_id,cat_id,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,potassium,carbs,protein,sugar,dietary_Fiber
48540,2018,58,10,430.0,28.0,14.0,1.0,70.0,1450.0,,37.0,8.0,31.0,3.0
48541,2018,58,10,290.0,19.0,10.0,0.5,45.0,960.0,,25.0,5.0,21.0,2.0
486,2018,56,9,410.0,20.0,5.0,0.0,50.0,660.0,,39.0,18.0,5.0,2.0
487,2018,81,9,640.0,30.0,4.5,0.5,40.0,1210.0,,71.0,21.0,11.0,4.0
488,2018,91,9,510.0,23.0,4.0,0.0,50.0,970.0,,58.0,19.0,6.0,1.0
489,2018,92,3,340.0,24.0,5.0,0.0,20.0,410.0,,18.0,11.0,2.0,1.0
49346,2018,61,0,2180.0,147.0,66.0,,,4620.0,,116.0,101.0,,9.0
49347,2018,61,0,420.0,21.0,5.0,,,340.0,,55.0,5.0,,7.0
49349,2018,61,0,1610.0,95.0,46.0,,,4160.0,,90.0,95.0,,14.0
49350,2018,61,0,1900.0,129.0,61.0,,,3070.0,,95.0,94.0,,15.0
49351,2018,61,0,220.0,19.0,2.0,,,440.0,,14.0,4.0,,4.0
49352,2018,61,0,770.0,68.0,8.0,,,2330.0,,49.0,16.0,,16.0
49353,2018,61,0,470.0,34.0,22.0,,,2420.0,,15.0,23.0,,1.0
49354,2018,61,0,290.0,21.0,14.0,,,1510.0,,10.0,14.0,,1.0
49357,2018,61,0,220.0,2.0,1.0,,,750.0,,38.0,12.0,,12.0
49358,2018,61,0,220.0,6.0,2.0,,,840.0,,37.0,4.0,,1.0
49359,2018,61,0,240.0,8.0,3.5,,,570.0,,30.0,11.0,,7.0
49378,2018,61,2,180.0,0.0,0.0,,,60.0,,51.0,0.0,,0.0
