item_id,year,item_name,item_description
102,2010,1/2 lb FlameThrower GrillBurger,"1/2 lb FlameThrower GrillBurger, Burgers"
10296,2010,"Chopped Farmhouse Chicken Salad, Crispy","Chopped Farmhouse Chicken Salad, Crispy, w/out Dijon Honey Mustard Dressing, Market Fresh Chopped Salads; Choice of Adding: Dijon Honey Mustard Dressing"
10297,2010,"Chopped Farmhouse Chicken Salad, Grilled","Chopped Farmhouse Chicken Salad, Grilled, w/out Dijon Honey Mustard Dressing, Market Fresh Chopped Salads; Choice of Adding: Dijon Honey Mustard Dressing"
10298,2010,Chopped Side Salad,"Chopped Side Salad, Market Fresh Chopped Salads"
10299,2010,Philly Beef Toasted Subs,"Philly Beef Toasted Subs, Arby's Toasted Sandwiches"
103,2010,1/2 lb GrillBurger,"1/2 lb GrillBurger, Burgers"
1030,2010,"Biscuit Sandwich w/ Bacon, Egg & Cheese","Biscuit Sandwich w/ Bacon, Egg & Cheese"
1032,2010,"Biscuit Sandwich w/ Sausage, Egg & Cheese","Biscuit Sandwich w/ Sausage, Egg & Cheese"
1033,2010,Biscuit w/ Bacon,Biscuit w/ Bacon
1034,2010,Biscuit w/ Sausage,Biscuit w/ Sausage
1035,2010,Breakfast On A Bun w/ Bacon,Breakfast On A Bun w/ Bacon
10357,2010,"Crispy Chicken Tenders, Regular","Crispy Chicken Tenders, Regular, Arby's Chicken; Choice of Adding: Tangy Barbeque Sauce, Buffalo Dipping Sauce or Honey Dijon Mustard Sauce"
10358,2010,"Crispy Chicken Tenders, Large","Crispy Chicken Tenders, Large, Arby's Chicken; Choice of Adding: Tangy Barbeque Sauce, Buffalo Dipping Sauce or Honey Dijon Mustard Sauce"
1036,2010,Breakfast On A Bun w/ Sausage,Breakfast On A Bun w/ Sausage
10363,2010,"Homestyle Fries, Large","Homestyle Fries, Large, Sides & Sidekickers"
10364,2010,"Homestyle Fries, Medium","Homestyle Fries, Medium, Sides & Sidekickers"
10365,2010,"Homestyle Fries, Small","Homestyle Fries, Small, Sides & Sidekickers"
1037,2010,Egg Sandwich,Egg Sandwich
10372,2010,"Homestyle Fries, Kids","Homestyle Fries, Kids, Kids Meal"
1038,2010,Honey Butter Chicken Biscuit,Honey Butter Chicken Biscuit
10392,2010,Tangy Barbeque Sauce,"Tangy Barbeque Sauce, for Crispy Chicken Tenders, Arby's Chicken"
10396,2010,Chocolate Chunk Cookies,"Chocolate Chunk Cookies, Beverages, Shakes & Desserts"
