item_id,year,r_id,cat_id,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,potassium,carbs,protein,sugar,dietary_Fiber
102,2010,24.0,3,1060.0,75.0,26.0,2.0,165.0,1980.0,,41.0,54.0,9.0,2.0
10296,2010,2.0,8,460.0,25.0,9.0,0.0,65.0,1090.0,,29.0,32.0,5.0,4.0
10297,2010,2.0,8,260.0,14.0,7.0,0.0,70.0,770.0,,10.0,26.0,5.0,3.0
10298,2010,2.0,8,70.0,5.0,3.0,0.0,15.0,100.0,,4.0,4.0,2.0,1.0
10299,2010,2.0,9,570.0,27.0,8.0,1.0,65.0,1490.0,,55.0,29.0,3.0,3.0
103,2010,24.0,3,720.0,40.0,15.0,15.0,105.0,1240.0,,42.0,42.0,12.0,2.0
1030,2010,91.0,9,500.0,32.0,14.0,0.0,232.0,1231.0,,33.0,16.0,2.0,1.0
1032,2010,91.0,9,690.0,49.0,21.0,0.0,247.0,1553.0,,33.0,26.0,2.0,1.0
1033,2010,91.0,9,350.0,20.0,10.0,0.0,8.0,847.0,,32.0,8.0,2.0,1.0
1034,2010,91.0,9,540.0,37.0,17.0,0.0,23.0,1169.0,,32.0,18.0,2.0,1.0
1035,2010,91.0,9,360.0,21.0,6.0,0.0,232.0,807.0,,25.0,15.0,4.0,1.0
10357,2010,2.0,5,360.0,17.0,25.0,0.0,45.0,730.0,,28.0,23.0,0.0,2.0
10358,2010,2.0,5,600.0,29.0,45.0,0.0,70.0,1220.0,,46.0,39.0,1.0,3.0
1036,2010,91.0,9,550.0,38.0,14.0,0.0,247.0,1129.0,,25.0,25.0,4.0,1.0
10363,2010,2.0,6,590.0,26.0,35.0,0.0,0.0,1200.0,,82.0,7.0,0.0,7.0
10364,2010,2.0,6,470.0,21.0,3.0,0.0,0.0,960.0,,66.0,5.0,0.0,6.0
10365,2010,2.0,6,350.0,15.0,2.0,0.0,0.0,720.0,,49.0,4.0,0.0,4.0
1037,2010,91.0,9,310.0,17.0,5.0,0.0,224.0,604.0,,25.0,12.0,4.0,1.0
10372,2010,2.0,6,230.0,10.0,15.0,0.0,0.0,480.0,,33.0,3.0,0.0,3.0
1038,2010,91.0,9,560.0,34.0,13.0,0.0,27.0,1008.0,,50.0,14.0,9.0,2.0
10392,2010,2.0,11,45.0,0.0,0.0,0.0,0.0,350.0,,11.0,0.0,8.0,0.0
10396,2010,2.0,4,420.0,21.0,10.0,0.0,30.0,55.0,,54.0,4.0,34.0,2.0
