item_id,year,r_id,cat_id,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,potassium,carbs,protein,sugar,dietary_Fiber
100054,2017,72,5,,,,,,,,,,,
100057,2017,72,9,,,,,,,,,,,
100060,2017,72,9,,,,,,,,,,,
100073,2017,72,11,300.0,7.0,3.0,0.0,0.0,760.0,50.0,52.0,8.0,2.0,3.0
100078,2017,73,5,,,,,,,,,,,
10012,2017,1,10,370.0,22.0,13.0,0.0,60.0,1470.0,,25.0,17.0,7.0,
10013,2017,1,10,190.0,12.0,6.0,0.0,20.0,840.0,,16.0,5.0,9.0,3.0
10014,2017,1,10,320.0,18.0,9.0,1.0,75.0,1010.0,,14.0,27.0,7.0,3.0
100155,2017,73,11,240.0,24.0,4.0,0.0,0.0,580.0,,4.0,0.0,3.0,0.0
100159,2017,74,0,1020.0,73.0,9.0,0.0,130.0,2650.0,,72.0,19.0,11.0,5.0
100160,2017,74,0,990.0,73.0,16.0,0.0,370.0,3570.0,,10.0,74.0,3.0,2.0
100161,2017,74,0,300.0,19.0,10.0,0.5,90.0,680.0,,13.0,23.0,4.0,1.0
100162,2017,74,0,,,,,,,,,,,
100163,2017,74,2,210.0,0.0,0.0,0.0,0.0,95.0,,60.0,0.0,60.0,0.0
100164,2017,74,5,430.0,18.0,8.0,1.0,115.0,1310.0,,27.0,40.0,2.0,3.0
100165,2017,74,5,620.0,18.0,1.5,0.0,145.0,2560.0,,93.0,23.0,45.0,9.0
100166,2017,74,5,770.0,38.0,9.0,1.0,265.0,1790.0,,57.0,45.0,3.0,4.0
100168,2017,74,5,860.0,43.0,14.0,0.0,345.0,2240.0,,56.0,62.0,25.0,1.0
100169,2017,74,5,870.0,34.0,11.0,1.0,285.0,2040.0,,82.0,52.0,4.0,5.0
100170,2017,74,5,730.0,43.0,5.0,0.0,170.0,850.0,,12.0,73.0,6.0,0.0
100171,2017,74,5,420.0,11.0,1.0,0.0,205.0,500.0,,0.0,70.0,0.0,0.0
100172,2017,74,5,230.0,13.0,3.0,0.0,70.0,910.0,,8.0,20.0,1.0,
100175,2017,74,5,350.0,15.0,3.0,0.0,230.0,1570.0,,26.0,27.0,1.0,
100176,2017,74,5,470.0,32.0,4.5,0.0,90.0,510.0,,8.0,37.0,5.0,0.0
100177,2017,74,5,210.0,5.0,0.0,0.0,100.0,250.0,,0.0,35.0,0.0,0.0
10018,2017,1,10,200.0,9.0,2.5,0.0,20.0,900.0,,22.0,8.0,3.0,3.0
100188,2017,74,5,460.0,25.0,6.0,0.5,145.0,1830.0,,16.0,41.0,3.0,1.0
100192,2017,74,5,200.0,4.5,1.0,0.0,100.0,180.0,,0.0,35.0,0.0,0.0
100198,2017,74,5,300.0,18.0,4.0,0.0,110.0,135.0,,0.0,33.0,0.0,0.0
10020,2017,1,8,190.0,12.0,4.5,0.0,25.0,350.0,,11.0,10.0,3.0,2.0
100205,2017,74,5,620.0,39.0,8.0,0.0,185.0,180.0,,0.0,64.0,0.0,0.0
100209,2017,74,5,,,,,,,,,,,
100210,2017,74,5,,,,,,,,,,,
100211,2017,74,5,,,,,,,,,,,
100212,2017,74,5,,,,,,,,,,,
100215,2017,74,9,630.0,27.0,5.0,0.0,135.0,2030.0,,71.0,25.0,6.0,5.0
100219,2017,74,11,90.0,0.0,0.0,0.0,0.0,590.0,,21.0,1.0,18.0,0.0
100221,2017,75,0,780.0,43.0,13.0,1.0,35.0,1910.0,,66.0,16.0,7.0,15.0
100225,2017,75,0,750.0,35.0,7.0,0.0,65.0,2330.0,,81.0,29.0,24.0,11.0
100226,2017,75,0,1270.0,55.0,11.0,0.0,130.0,4270.0,,137.0,56.0,44.0,19.0
100227,2017,75,0,760.0,40.0,8.0,0.0,65.0,1710.0,,71.0,29.0,10.0,12.0
100228,2017,75,0,1220.0,60.0,11.0,0.0,130.0,3000.0,,115.0,54.0,20.0,21.0
100229,2017,75,0,,,,,,,,,,,
10023,2017,1,8,460.0,31.0,5.0,0.0,25.0,630.0,,30.0,16.0,11.0,3.0
100232,2017,75,0,550.0,31.0,6.0,0.0,5.0,970.0,,62.0,7.0,6.0,14.0
100233,2017,75,2,90.0,0.0,0.0,0.0,0.0,10.0,,25.0,0.0,25.0,0.0
10025,2017,1,8,230.0,19.0,4.0,0.0,15.0,360.0,,11.0,5.0,2.0,2.0
100253,2017,75,2,170.0,0.0,0.0,0.0,0.0,25.0,,43.0,0.0,42.0,0.0
100254,2017,75,2,196.0,2.0,2.0,0.0,15.0,18.0,,40.0,0.0,38.0,0.0
100255,2017,75,2,206.0,2.0,2.0,0.0,15.0,18.0,,43.0,0.0,41.0,0.0
100257,2017,75,2,1058.0,38.0,23.0,1.0,151.0,371.0,,162.0,20.0,141.0,2.0
100258,2017,75,2,577.0,21.0,13.0,1.0,83.0,218.0,,73.0,10.0,59.0,1.0
100263,2017,75,2,218.0,0.0,0.0,0.0,0.0,3.0,,33.0,1.0,20.0,0.0
100266,2017,75,2,122.0,0.0,0.0,0.0,0.0,873.0,,11.0,0.0,8.0,0.0
100273,2017,75,2,,,,,,,,,,,
100274,2017,75,2,,,,,,,,,,,
100275,2017,75,2,,,,,,,,,,,
100277,2017,75,2,,,,,,,,,,,
100278,2017,75,2,,,,,,,,,,,
100279,2017,75,2,,,,,,,,,,,
100280,2017,75,2,,,,,,,,,,,
100281,2017,75,2,,,,,,,,,,,
100284,2017,75,3,,,,,,,,,,,
100286,2017,75,3,1120.0,68.0,25.0,3.0,180.0,4500.0,,65.0,57.0,14.0,11.0
100287,2017,75,3,1140.0,69.0,16.0,2.0,140.0,1650.0,,49.0,48.0,7.0,4.0
100288,2017,75,3,950.0,50.0,19.0,2.0,170.0,3380.0,,64.0,61.0,23.0,3.0
100294,2017,75,6,1320.0,84.0,21.0,0.0,70.0,1970.0,,108.0,27.0,10.0,27.0
100295,2017,75,6,830.0,53.0,14.0,1.0,65.0,1500.0,,59.0,24.0,4.0,15.0
100296,2017,75,6,450.0,25.0,8.0,0.0,25.0,150.0,,51.0,8.0,1.0,13.0
100297,2017,75,8,20.0,0.0,0.0,0.0,0.0,15.0,,4.0,1.0,2.0,2.0
100298,2017,75,8,,,,,,,,,,,
100299,2017,75,3,960.0,59.0,11.0,0.0,75.0,1950.0,,68.0,35.0,8.0,2.0
100300,2017,75,9,,,,,,,,,,,
100301,2017,75,11,160.0,16.0,2.0,0.0,20.0,450.0,,4.0,0.0,1.0,0.0
100302,2017,75,11,330.0,30.0,5.0,0.0,15.0,330.0,,3.0,0.0,0.0,0.0
100304,2017,75,11,100.0,0.0,0.0,0.0,0.0,930.0,,25.0,2.0,20.0,1.0
100305,2017,75,11,340.0,29.0,6.0,0.0,35.0,670.0,,5.0,9.0,4.0,0.0
100306,2017,75,11,100.0,0.0,0.0,0.0,0.0,630.0,,28.0,0.0,24.0,0.0
100307,2017,75,11,140.0,16.0,7.0,0.0,0.0,1430.0,,0.0,0.0,0.0,0.0
100308,2017,75,11,280.0,23.0,4.0,0.0,10.0,590.0,,11.0,1.0,8.0,1.0
