item_id,year,item_name,item_description
100,2013,"ButterBurger w/ Cheese, Kids","ButterBurger w/ Cheese, Kids"
10001,2013,Breadstick,"Breadstick, Pick 'n Pair & Lunch Combos"
10002,2013,Toasted Garlic Bread Basket,"Toasted Garlic Bread Basket, Extras, As Served"
10003,2013,"French Onion Soup, Pick 'n Pair & Lunch Combos","French Onion Soup, Pick 'n Pair & Lunch Combos"
10004,2013,"Tomato Basil Soup, Pick 'n Pair & Lunch Combos","Tomato Basil Soup, Pick 'n Pair & Lunch Combos"
10005,2013,"Chili, Pick 'n Pair & Lunch Combos","Chili, Pick 'n Pair & Lunch Combos"
10006,2013,"Baked Potato Soup, Pick 'n Pair & Lunch Combos","Baked Potato Soup, Pick 'n Pair & Lunch Combos"
10007,2013,"Black Bean Soup, Pick 'n Pair & Lunch Combos","Black Bean Soup, Pick 'n Pair & Lunch Combos"
10008,2013,"Chicken Noodle Soup, Pick 'n Pair & Lunch Combos","Chicken Noodle Soup, Pick 'n Pair & Lunch Combos"
10009,2013,"Chicken Tortilla Soup, Pick 'n Pair & Lunch Combos","Chicken Tortilla Soup, Pick 'n Pair & Lunch Combos"
10010,2013,"Broccoli Cheddar Soup, Pick 'n Pair & Lunch Combos","Broccoli Cheddar Soup, Pick 'n Pair & Lunch Combos"
10011,2013,"Clam Chowder, Pick 'n Pair & Lunch Combos","Clam Chowder, Pick 'n Pair & Lunch Combos"
10012,2013,"French Onion Soup, Bowl","French Onion Soup, Extras, As Served, Bowl"
10013,2013,"Tomato Basil Soup, Bowl","Tomato Basil Soup, Soups, Salads & Sides, As Served, Bowl"
10014,2013,"Chili, Bowl","Chili, Soups, Salads & Sides, As Served, Bowl"
10015,2013,"Broccoli Cheddar Soup, Bowl","Broccoli Cheddar Soup, Soups, Salads & Sides, As Served, Bowl"
10016,2013,"Clam Chowder, Bowl","Clam Chowder, Soups, Salads & Sides, As Served, Bowl"
10017,2013,"Baked Potato Soup, Bowl","Baked Potato Soup, Soups, Salads & Sides, As Served, Bowl"
10018,2013,"Chicken Tortilla Soup, Bowl","Chicken Tortilla Soup, Soups, Salads & Sides, As Served, Bowl"
10019,2013,"Chicken Noodle Soup, Bowl","Chicken Noodle Soup, Soups, Salads & Sides, As Served, Bowl"
10020,2013,Applebee's House Salad,"Applebee's House Salad w/out Dressing, Soups, Salads & Sides, Sandwich Sides, As Served"
10021,2013,"Fried Chicken Salad, Pick 'n Pair & Lunch Combos","Fried Chicken Salad, Pick 'n Pair & Lunch Combos"
10022,2013,"Grilled Shrimp 'n Spinach Salad, Pick 'n Pair & Lunch Combos","Grilled Shrimp 'n Spinach Salad, Pick 'n Pair & Lunch Combos"
10023,2013,"Oriental Chicken Salad, Pick 'n Pair & Lunch Combos","Oriental Chicken Salad, Pick 'n Pair & Lunch Combos"
10024,2013,"Oriental Grilled Chicken Salad, Pick 'n Pair & Lunch Combos","Oriental Grilled Chicken Salad, Pick 'n Pair & Lunch Combos"
