item_id,year,r_id,cat_id,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,potassium,carbs,protein,sugar,dietary_Fiber
100,2013,23,3,421.0,21.0,9.0,0.0,80.0,990.0,,37.0,22.0,9.0,1.0
10001,2013,1,1,130.0,4.0,0.5,0.0,,200.0,,19.0,4.0,,1.0
10002,2013,1,1,500.0,15.0,2.5,0.0,,820.0,,76.0,16.0,,3.0
10003,2013,1,10,330.0,20.0,12.0,0.5,,1230.0,,22.0,15.0,,1.0
10004,2013,1,10,220.0,14.0,6.0,0.0,,1230.0,,23.0,5.0,,2.0
10005,2013,1,10,340.0,21.0,12.0,0.5,,920.0,,11.0,26.0,,4.0
10006,2013,1,10,400.0,29.0,14.0,0.5,,550.0,,22.0,12.0,,2.0
10007,2013,1,10,220.0,10.0,5.0,0.0,,990.0,,23.0,10.0,,6.0
10008,2013,1,10,120.0,3.5,1.0,0.0,,970.0,,12.0,12.0,,1.0
10009,2013,1,10,200.0,8.0,2.0,0.0,,1060.0,,23.0,10.0,,3.0
10010,2013,1,10,390.0,25.0,16.0,1.0,,1860.0,,20.0,12.0,,2.0
10011,2013,1,10,310.0,22.0,13.0,0.5,,880.0,,17.0,12.0,,1.0
10012,2013,1,10,330.0,20.0,12.0,0.5,,1230.0,,22.0,15.0,,1.0
10013,2013,1,10,280.0,16.0,7.0,0.0,,1490.0,,29.0,6.0,,3.0
10014,2013,1,10,400.0,24.0,13.0,1.0,,1100.0,,17.0,29.0,,5.0
10015,2013,1,10,390.0,29.0,18.0,1.0,,1860.0,,20.0,14.0,,3.0
10016,2013,1,10,380.0,26.0,16.0,0.5,,1090.0,,24.0,14.0,,2.0
10017,2013,1,10,460.0,32.0,15.0,1.0,,650.0,,28.0,13.0,,2.0
10018,2013,1,10,210.0,9.0,2.0,0.0,,1220.0,,24.0,10.0,,3.0
10019,2013,1,10,170.0,4.5,1.0,0.0,,1200.0,,18.0,14.0,,1.0
10020,2013,1,8,230.0,15.0,7.0,0.0,,400.0,,12.0,13.0,,3.0
10021,2013,1,8,410.0,27.0,6.0,0.0,,950.0,,24.0,19.0,,3.0
10022,2013,1,8,290.0,15.0,3.0,0.0,,1580.0,,23.0,18.0,,3.0
10023,2013,1,8,440.0,29.0,4.5,0.0,,660.0,,28.0,16.0,,3.0
10024,2013,1,8,430.0,21.0,3.0,0.0,,1440.0,,36.0,25.0,,2.0
10025,2013,1,8,220.0,19.0,4.0,0.0,,400.0,,8.0,5.0,,2.0
10026,2013,1,8,310.0,20.0,4.0,0.0,,720.0,,8.0,26.0,,2.0
10028,2013,1,8,220.0,14.0,2.5,0.0,,670.0,,22.0,6.0,,3.0
10029,2013,1,8,120.0,7.0,2.5,0.0,,200.0,,9.0,6.0,,2.0
10030,2013,1,8,310.0,27.0,5.0,0.0,,550.0,,12.0,6.0,,3.0
10040,2013,1,8,820.0,57.0,11.0,0.5,,1740.0,,25.0,54.0,,6.0
10041,2013,1,8,410.0,29.0,6.0,0.0,,870.0,,12.0,27.0,,3.0
10042,2013,1,8,370.0,10.0,3.5,0.0,,970.0,,21.0,52.0,,5.0
10043,2013,1,8,190.0,5.0,2.0,0.0,,490.0,,10.0,26.0,,3.0
10044,2013,1,8,910.0,68.0,15.0,1.0,,1900.0,,25.0,53.0,,6.0
10045,2013,1,8,460.0,34.0,8.0,0.5,,950.0,,13.0,26.0,,3.0
